county,hpv_category,percent_utd
Colorado,hpv_overall,0.585
Colorado,hpv_female,0.596
Colorado,hpv_male,0.576
Adams,hpv_overall,0.631
Adams,hpv_female,0.634
Adams,hpv_male,0.628
Alamosa,hpv_overall,0.536
Alamosa,hpv_female,0.549
Alamosa,hpv_male,0.525
Arapahoe,hpv_overall,0.642
Arapahoe,hpv_female,0.653
Arapahoe,hpv_male,0.633
Archuleta,hpv_overall,0.367
Archuleta,hpv_female,0.373
Archuleta,hpv_male,0.36
Baca,hpv_overall,0.585
Baca,hpv_female,0.602
Baca,hpv_male,0.569
Bent,hpv_overall,0.609
Bent,hpv_female,0.595
Bent,hpv_male,0.624
Boulder,hpv_overall,0.622
Boulder,hpv_female,0.627
Boulder,hpv_male,0.617
Broomfield,hpv_overall,0.668
Broomfield,hpv_female,0.676
Broomfield,hpv_male,0.661
Chaffee,hpv_overall,0.382
Chaffee,hpv_female,0.408
Chaffee,hpv_male,0.355
Cheyenne,hpv_overall,0.336
Cheyenne,hpv_female,0.273
Cheyenne,hpv_male,0.407
Clear Creek,hpv_overall,0.562
Clear Creek,hpv_female,0.577
Clear Creek,hpv_male,0.553
Conejos,hpv_overall,0.471
Conejos,hpv_female,0.477
Conejos,hpv_male,0.466
Costilla,hpv_overall,0.593
Costilla,hpv_female,0.617
Costilla,hpv_male,0.57
Crowley,hpv_overall,0.531
Crowley,hpv_female,0.59
Crowley,hpv_male,0.471
Custer,hpv_overall,0.381
Custer,hpv_female,0.433
Custer,hpv_male,0.328
Delta,hpv_overall,0.509
Delta,hpv_female,0.491
Delta,hpv_male,0.53
Denver,hpv_overall,0.673
Denver,hpv_female,0.678
Denver,hpv_male,0.669
Dolores,hpv_overall,0.571
Dolores,hpv_female,0.481
Dolores,hpv_male,0.639
Douglas,hpv_overall,0.619
Douglas,hpv_female,0.627
Douglas,hpv_male,0.611
Eagle,hpv_overall,0.423
Eagle,hpv_female,0.444
Eagle,hpv_male,0.404
El Paso,hpv_overall,0.435
El Paso,hpv_female,0.451
El Paso,hpv_male,0.419
Elbert,hpv_overall,0.556
Elbert,hpv_female,0.563
Elbert,hpv_male,0.549
Fremont,hpv_overall,0.42
